species,CPIC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of recap,Column Labels,,,,,,,,,,,,,,,
Row Labels,A,C,D,E,F,G,H,I,J,K,L,M,N,O,Grand Total,
604,,,,,,,,,,,,,1,,1,
605,,,,,,,,,,,,,1,,1,
607,,,,,,,,,,,,,1,,1,
608,,,,,,,,,,,,,,1,1,
609,,,,,,,,,,,,,,2,2,
610,,,,,,,,,,,,,2,,2,
611,,,,,,,,,,,,,2,,2,
612,,,,,,,,,,,,,1,,1,
613,,,,,,,,,,,,,,1,1,
614,,,,,,,,,,,,,1,,1,
615,,,,,,,,,,,,,,1,1,
616,,,,,,,,,,,,,,1,1,
617,,,,,,,,,,,,,,3,3,
618,,,,,,,,,,,,,,1,1,
620,,,,,,,,,,,,,1,,1,
621,,,,,,,,,,,,,,1,1,
622,,,,,,,,,,,,,1,,1,
623,,,,,,,,,,,,,,2,2,
624,,,,,,,,,,,,,2,,2,
625,,,,,,,,,,,,,,2,2,
627,,,,,,,,,,,,,,1,1,
630,,,,,,,,,,,,,1,,1,
631,,,,,,,,,,,,,,1,1,
640,,,,,,,,,,,,,1,,1,
642,,,,,,,,,,,,,3,,3,
644,,,,,,,,,,,,,1,,1,
645,,,,,,,,,,,,,1,,1,
646,,,,,,,,,,,,,,2,2,
647,,,,,,,,,,,,,,1,1,
648,,,,,,,,,,,,,,1,1,
650,,,,,,,,,,,,,1,,1,
651,,,,,,,,,,,,,,2,2,
660,,,,,,,,,,,,,1,,1,
670,,,,,,,,,,,,,2,,2,
671,,,,,,,,,,,,,,1,1,
672,,,,,,,,,,,,,,1,1,
674,,,,,,,,,,,,,,1,1,
677,,,,,,,,,,,,,,1,1,
680,,,,,,,,,,,,,1,,1,
690,,,,,,,,,,,,,1,,1,
700,,,,,,1,,,,,,,,,1,
701,,,,,,1,,,,,,,,,1,
702,,,,,,1,,,,,,,,,1,
703,,,,,,1,,,,,,,,,1,
704,,,,,,1,,,,,,,,,1,
705,,,,,,,,,,,,,1,,1,
706,,,,,,,,,,,,,,2,2,
707,,,,,,,,,,,,,1,,1,
708,,,,,,,,,,,,,,1,1,
709,,,,,,,,,,,,,,1,1,
710,,,,,,1,,,,,,,,,1,
711,,,,,,,,,,,,,1,,1,
712,,,,,,,,,,,,,1,,1,
713,,,,,,,,,,,,,,1,1,
714,,,,,,,,,,,,,1,,1,
715,,,,,,,,,,,,,,2,2,
716,,,,,,,,,,,,,,1,1,
717,,,,,,,,,,,,,,1,1,
719,,,,,,,,,,1,,,,,1,
720,,,,,,2,,,,,,,,,2,
721,,,,,,,,,,,,,1,,1,
722,,,,,,,,,,,,,1,,1,
723,,,,,,,,,,,,,,1,1,
724,,,,,,,,,,,,,1,,1,
725,,,,,,,,,,,,,,1,1,
726,,,,,,,,,,,,,,1,1,
727,,,,,,,,,,,,,,1,1,
730,,,,,,,,,,,,,1,,1,
731,,,,,,,,,,,,,,1,1,
734,,,,,,,,,,,,,,1,1,
740,,,,,,2,,,,,,,,,2,
741,,,,,,,,,,,,,1,,1,
742,,,,,,,,,,,,,1,,1,
743,,,,,,,,,,,,,,1,1,
744,,,,,,,,,,,,,1,,1,
745,,,,,,,,,,,,,,1,1,
746,,,,,,,,,,,,,,1,1,
747,,,,,,,,,,,,,,1,1,
750,,,,,,,,,,,,,,2,2,
751,,,,,,,,,,,,,,1,1,
760,,,,,,1,,,,,,,,,1,
761,,,,,,,,,,,,,,2,2,
762,,,,,,,,,,,,,,1,1,
770,,,,,,1,,,,,,,,,1,
771,,,,,,1,,,,,,,,,1,
772,,,,,,1,,,,,,,,,1,
774,,,,,,1,,,,,,,,,1,
777,,,,,,,,,,1,,,,,1,
780,,,,,,1,,,,,,,,,1,
790,,,,,,1,,,,,,,,,1,
800,,,,,,2,,,,,,,,,2,
801,,,,,,,,,,,,,1,,1,
802,,,,,,,,,,,,,1,,1,
804,,,,,,,,,,,,,1,,1,
807,,,,,,,,,,,,,,1,1,
840,,,,,,,,,,,,1,,,1,
841,,,,,,,,,,,,,,2,2,
850,,,,,,,,,,,,,,2,2,
880,,,,,,,,,,,,,,1,1,
900,,,,,1,,,,,,,,,,1,
901,,,,,1,,,,,,,,,,1,
902,,,,,1,,,,,,,,,,1,
903,,,,,1,,,,,,,,,,1,
904,,,,,1,,,,,,,,,,1,
905,,,,,,,,,,,,,,1,1,
906,,,,,,,,,,,,,,1,1,
910,,,,,1,,,,,,,,,,1,
911,,,,,,,,,,,,,,1,1,
912,,,,,,,,,,,,,,1,1,
914,,,,,,,,,,,,,,1,1,
917,,,,,,,,,,,,,,1,1,
920,,,,,1,,,,,,,,,,1,
940,,,,,,,,,,,,,,2,2,
960,,,,,,,,,,,,,2,,2,
970,,,,,,,,,,,,,,1,1,
1000,,,,1,,,,,,,,,,,1,
1001,,,,,1,,,,,,,,,,1,
1002,,,,,1,,,,,,,,,,1,
1004,,,,,1,,,,,,,,,,1,
1005,,,,,,,,,,,1,,,,1,
1007,,,,,,,,,,,,,1,,1,
1009,,,,,,,,,,1,,,,,1,
1011,,,,,,,,,,,,1,,,1,
1021,,,,,,,,,,,,,1,,1,
1024,,,,,,,,,,,,1,,,1,
1078,,,,,,,,,,,,1,,,1,
1103,,,,,1,,,,,,,,,,1,
1110,,,,,1,,,,,,,,,,1,
1135,,,,,1,,,,,,,,,,1,
1300,,,,,,1,,,,,,,,,1,
1301,,,,,,1,,,,,,,,,1,
1302,,,,,,1,,,,,,,,,1,
1304,,,,,,1,,,,,,,,,1,
1306,,,,,,,,,,,,,,2,2,
